location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,recovered,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Ukraine,8/30/2020,116978,2481,2001,2492,54,35.429,2674.776,56.73,45.754,56.981,1.235,0.81,1.15,1536171,19459,35.126,0.445,17167,0.393,8.579,58775,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,8/31/2020,119074,2096,2016.571,2527,35,36.571,2722.702,47.926,46.11,57.781,0.8,0.836,1.14,1550280,14109,35.448,0.323,17847,0.408,8.85,59162,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/1/2020,121215,2141,2065.857,2557,30,37.714,2771.657,48.955,47.237,58.467,0.686,0.862,1.14,1556655,6375,35.594,0.146,17207,0.393,8.329,59904,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/2/2020,123303,2088,1888.286,2605,48,41,2819.401,47.743,43.177,59.565,1.098,0.937,1.14,1597707,41052,36.533,0.939,20814,0.476,11.023,60943,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/3/2020,125789,2486,1961.429,2656,51,36.143,2876.245,56.844,44.849,60.731,1.166,0.826,1.14,1621697,23990,37.081,0.549,21280,0.487,10.849,61828,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/4/2020,128228,2439,2309.857,2710,54,43.857,2932.014,55.769,52.816,61.966,1.235,1.003,1.14,,,,,21895,0.501,9.479,62828,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/5/2020,130951,2723,2350.571,2723,13,40.714,2994.277,62.263,53.747,62.263,0.297,0.931,1.13,1673316,,38.261,,22372,0.512,9.518,63891,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/6/2020,133787,2836,2401.286,2811,88,45.571,3059.124,64.847,54.907,64.275,2.012,1.042,1.12,1693793,20477,38.73,0.468,22517,0.515,9.377,64496,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/7/2020,135894,2107,2402.857,2811,0,40.571,3107.302,48.178,54.943,64.275,0,0.928,1.11,1709017,15224,39.078,0.348,22677,0.519,9.438,64886,51.39,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/8/2020,138068,2174,2407.571,2877,66,45.714,3157.012,49.71,55.051,65.784,1.509,1.045,1.11,1731877,22860,39.6,0.523,25032,0.572,10.397,65849,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/9/2020,143030,4962,2818.143,2979,102,53.429,3270.471,113.459,64.439,68.117,2.332,1.222,1.12,1751931,20054,40.059,0.459,22032,0.504,7.818,67092,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/10/2020,145612,2582,2831.857,2979,0,46.143,3329.51,59.039,64.752,68.117,0,1.055,1.13,1778483,26552,40.666,0.607,22398,0.512,7.909,68289,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/11/2020,148756,3144,2932.571,3076,97,52.286,3401.4,71.89,67.055,70.335,2.218,1.196,1.14,1806428,27945,41.305,0.639,22703,0.519,7.742,69466,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/12/2020,148756,0,2543.571,3076,0,50.429,3401.4,0,58.16,70.335,0,1.153,1.13,1834165,27737,41.939,0.634,22978,0.525,9.034,70881,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/13/2020,151859,3103,2581.714,3103,27,41.714,3472.352,70.952,59.033,70.952,0.617,0.954,1.12,1856467,22302,42.449,0.51,23239,0.531,9.001,71434,62.5,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/14/2020,154335,2476,2634.429,3178,75,52.429,3528.967,56.615,60.238,72.667,1.715,1.199,1.12,1870790,14323,42.777,0.328,23110,0.528,8.772,72091,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/15/2020,156797,2462,2675.571,3211,33,47.714,3585.262,56.295,61.179,73.422,0.755,1.091,1.13,1897688,26898,43.392,0.615,23687,0.542,8.853,73422,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/16/2020,162660,5863,2804.286,3340,129,51.571,3719.324,134.061,64.122,76.371,2.95,1.179,1.13,1925482,27794,44.027,0.636,24793,0.567,8.841,74981,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/17/2020,162660,0,2435.429,3340,0,51.571,3719.324,0,55.688,76.371,0,1.179,1.14,1955211,29729,44.707,0.68,25247,0.577,10.367,76636,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/18/2020,166244,3584,2498.286,3400,60,46.286,3801.274,81.95,57.125,77.743,1.372,1.058,1.13,1985802,30591,45.407,0.699,25625,0.586,10.257,78273,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/19/2020,169472,3228,2959.429,3468,68,56,3875.084,73.81,67.669,79.298,1.555,1.28,1.12,2014923,29121,46.072,0.666,25823,0.59,8.726,79671,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/20/2020,172712,3240,2979,3516,48,59,3949.169,74.085,68.117,80.396,1.098,1.349,1.11,2038850,23927,46.62,0.547,26055,0.596,8.746,80438,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/21/2020,175678,2966,3049,3557,41,54.143,4016.988,67.819,69.717,81.333,0.937,1.238,1.1,2058638,19788,47.072,0.452,26835,0.614,8.801,81131,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/22/2020,178353,2675,3079.429,3583,26,53.143,4078.154,61.166,70.413,81.928,0.595,1.215,1.11,2079482,20844,47.549,0.477,25971,0.594,8.434,82927,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/23/2020,181237,2884,2653.857,3642,59,43.143,4144.098,65.944,60.682,83.277,1.349,0.986,1.12,2102377,22895,48.072,0.524,25271,0.578,9.522,84767,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/24/2020,184734,3497,3153.429,3705,63,52.143,4224.059,79.961,72.105,84.717,1.441,1.192,1.12,2129156,26779,48.684,0.612,24849,0.568,7.88,86624,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/25/2020,188106,3372,3123.143,3757,52,51,4301.162,77.103,71.413,85.906,1.189,1.166,1.13,2156653,27497,49.313,0.629,24407,0.558,7.815,88324,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/26/2020,191671,3565,3171.286,3827,70,51.286,4382.678,81.516,72.513,87.507,1.601,1.173,1.13,2189926,33273,50.074,0.761,25000,0.572,7.883,90142,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/27/2020,195504,3833,3256,3903,76,55.286,4470.322,87.644,74.45,89.245,1.738,1.264,1.12,2209975,20049,50.532,0.458,24446,0.559,7.508,91179,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/28/2020,198634,3130,3279.429,3959,56,57.429,4541.892,71.569,74.986,90.525,1.28,1.313,1.12,2226508,16533,50.911,0.378,23981,0.548,7.313,91754,64.35,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/29/2020,201305,2671,3278.857,3996,37,59,4602.966,61.074,74.973,91.371,0.846,1.349,1.14,2250676,24168,51.463,0.553,24456,0.559,7.459,93664,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,9/30/2020,204932,3627,3385,4065,69,60.429,4685.9,82.934,77.4,92.949,1.578,1.382,1.16,2278248,27572,52.094,0.63,25124,0.574,7.422,95829,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/1/2020,208959,4027,3460.714,4129,64,60.571,4777.979,92.08,79.131,94.412,1.463,1.385,1.17,2308415,30167,52.783,0.69,25608,0.586,7.4,97956,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/2/2020,208959,0,2979,4193,64,62.286,4777.979,0,68.117,95.876,1.463,1.424,1.18,2337942,29527,53.459,0.675,25898,0.592,8.694,100163,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/3/2020,217661,8702,3712.857,4261,68,62,4976.956,198.977,84.897,97.43,1.555,1.418,1.18,,,,,24311,0.556,6.548,102347,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/4/2020,222232,4571,3818.286,4353,92,64.286,5081.475,104.519,87.308,99.534,2.104,1.47,1.17,2382259,,54.472,,24612,0.563,6.446,103762,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/5/2020,226462,4230,3975.429,4397,44,62.571,5178.197,96.722,90.901,100.54,1.006,1.431,1.17,2397905,15646,54.83,0.358,24485,0.56,6.159,104966,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/6/2020,230236,3774,4133,4430,33,62,5264.491,86.295,94.504,101.295,0.755,1.418,1.18,2423031,25126,55.404,0.575,24622,0.563,5.957,107210,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/7/2020,234584,4348,4236,4520,90,65,5363.911,99.42,96.859,103.353,2.058,1.486,1.19,2455407,32376,56.144,0.74,25308,0.579,5.975,109968,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/8/2020,239337,4753,4339.714,4597,77,66.857,5472.592,108.68,99.23,105.113,1.761,1.529,1.2,2489702,34295,56.929,0.784,25898,0.592,5.968,112365,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/9/2020,244734,5397,5110.714,4690,93,71,5595.997,123.406,116.86,107.24,2.127,1.623,1.19,2522360,32658,57.675,0.747,26345,0.602,5.155,114872,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/10/2020,244734,0,3867.571,4690,0,61.286,5595.997,0,88.434,107.24,0,1.401,1.18,2582768,60408,59.057,1.381,31810,0.727,8.225,116861,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/11/2020,256266,11532,4862,4887,197,76.286,5859.684,263.686,111.173,111.744,4.505,1.744,1.16,,,,,30063,0.687,6.183,117829,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/12/2020,261034,4768,4938.857,4972,85,82.143,5968.707,109.023,112.93,113.688,1.944,1.878,1.15,2602635,,59.511,,29247,0.669,5.922,118740,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/13/2020,265454,4420,5031.143,5015,43,83.571,6069.773,101.066,115.04,114.671,0.983,1.911,1.15,2630988,28353,60.159,0.648,29708,0.679,5.905,120999,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/14/2020,270587,5133,5143.286,5133,118,87.571,6187.143,117.369,117.604,117.369,2.698,2.002,1.15,2695488,64500,61.634,1.475,34297,0.784,6.668,123263,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/15/2020,276177,5590,5262.857,5229,96,90.286,6314.961,127.819,120.339,119.564,2.195,2.064,1.15,,,,,31827,0.728,6.047,124316,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/16/2020,281239,5062,5215,5302,73,87.429,6430.707,115.746,119.244,121.234,1.669,1.999,1.15,2729496,,62.412,,29591,0.677,5.674,126721,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/17/2020,287231,5992,6071,5408,106,102.571,6567.718,137.011,138.817,123.657,2.424,2.345,1.15,2765787,36291,63.241,0.83,26146,0.598,4.307,129033,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/18/2020,293641,6410,5339.286,5517,109,90,6714.287,146.569,122.086,126.15,2.492,2.058,1.14,,,,,28301,0.647,5.301,130338,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/19/2020,303638,9997,6086.286,5673,156,100.143,6942.874,228.588,139.167,129.717,3.567,2.29,1.14,2815833,,64.386,,30457,0.696,5.004,131473,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/20/2020,309107,5469,6236.143,5786,113,110.143,7067.927,125.052,142.593,132.301,2.584,2.518,1.15,2847376,31543,65.107,0.721,30913,0.707,4.957,134680,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/21/2020,309107,0,5502.857,5786,0,93.286,7067.927,0,125.826,132.301,0,2.133,1.16,2880105,32729,65.855,0.748,26374,0.603,4.793,137515,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/22/2020,315826,6719,5664.143,5927,141,99.714,7221.561,153.634,129.514,135.525,3.224,2.28,1.17,2914006,33901,66.631,0.775,28788,0.658,5.082,140322,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/23/2020,322879,7053,5948.571,6043,116,105.857,7382.832,161.271,136.018,138.177,2.652,2.42,1.17,2950463,36457,67.464,0.834,31567,0.722,5.307,143093,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/24/2020,330396,7517,6166.429,6164,121,108,7554.713,171.881,140.999,140.944,2.767,2.469,1.16,2991893,41430,68.412,0.947,32301,0.739,5.238,145418,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/25/2020,337410,7014,6252.714,6289,125,110.286,7715.093,160.38,142.972,143.802,2.858,2.522,1.15,3025148,33255,69.172,0.76,33477,0.765,5.354,147240,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/26/2020,343489,6079,5693,6391,102,102.571,7854.093,139,130.174,146.134,2.332,2.345,1.14,3053927,28779,69.83,0.658,34013,0.778,5.975,148300,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/27/2020,348924,5435,5688.143,6464,73,96.857,7978.367,124.275,130.063,147.803,1.669,2.215,1.15,3087288,33361,70.593,0.763,34273,0.784,6.025,151428,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/28/2020,355601,6677,6642,6590,126,114.857,8131.041,152.674,151.874,150.685,2.881,2.626,1.17,3129235,41947,71.552,0.959,35590,0.814,5.358,155028,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/29/2020,363075,7474,6749.857,6755,165,118.286,8301.939,170.898,154.34,154.457,3.773,2.705,1.18,3176397,47162,72.63,1.078,37484,0.857,5.553,158208,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/30/2020,370417,7342,6791.143,6868,113,117.857,8469.818,167.879,155.284,157.041,2.584,2.695,1.19,3225954,49557,73.763,1.133,39356,0.9,5.795,161719,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,10/31/2020,378729,8312,6904.714,7041,173,125.286,8659.878,190.059,157.881,160.997,3.956,2.865,1.19,,,,,39623,0.906,5.739,165902,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/1/2020,387481,8752,7153,7196,155,129.571,8859.998,200.12,163.558,164.541,3.544,2.963,1.19,3312549,,75.744,,41057,0.939,5.74,168495,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/2/2020,395440,7959,7421.571,7306,110,130.714,9041.985,181.988,169.699,167.056,2.515,2.989,1.19,3344211,31662,76.467,0.724,41469,0.948,5.588,170880,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/3/2020,402194,6754,7610,7375,69,130.143,9196.42,154.434,174.007,168.634,1.578,2.976,1.2,3379029,34818,77.264,0.796,41677,0.953,5.477,176220,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/4/2020,411093,8899,7927.429,7532,157,134.571,9399.901,203.481,181.266,172.224,3.59,3.077,1.21,3386489,7460,77.434,0.171,36751,0.84,4.636,184141,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/5/2020,420617,9524,8220.286,7731,199,139.429,9617.673,217.772,187.962,176.774,4.55,3.188,1.22,,,,,39634,0.906,4.821,192602,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/6/2020,430467,9850,8578.571,7924,193,150.857,9842.9,225.226,196.154,181.187,4.413,3.449,1.22,3521175,,80.514,,42174,0.964,4.916,203572,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/7/2020,440188,9721,8779.857,8125,201,154.857,10065.176,222.277,200.757,185.783,4.596,3.541,1.23,3572433,51258,81.686,1.172,43312,0.99,4.933,212549,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/8/2020,450934,10746,9064.714,8312,187,159.429,10310.89,245.714,207.27,190.059,4.276,3.645,,3613899,41466,82.634,0.948,43050,0.984,4.749,215357,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/9/2020,460331,9397,9270.143,8450,138,163.429,10525.759,214.868,211.968,193.215,3.155,3.737,,3648292,34393,83.42,0.786,43440,0.993,4.686,217716,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/10/2020,469018,8687,9546.286,8565,115,170,10724.393,198.634,218.282,195.844,2.63,3.887,,3691258,42966,84.403,0.982,44604,1.02,4.672,223530,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/11/2020,479197,10179,9729.143,8756,191,174.857,10957.142,232.749,222.463,200.211,4.367,3.998,,3735166,43908,85.407,1.004,49811,1.139,5.12,230767,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/12/2020,489808,10611,9884.429,8947,191,173.714,11199.769,242.627,226.014,204.579,4.367,3.972,,3782099,46933,86.48,1.073,46895,1.072,4.744,237399,58.8,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/13/2020,500865,11057,10056.857,9145,198,174.429,11452.594,252.825,229.956,209.106,4.527,3.988,,3828912,46813,87.55,1.07,43962,1.005,4.371,243901,61.57,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/14/2020,512652,11787,10352,9317,172,170.286,11722.112,269.517,236.705,213.039,3.933,3.894,,3912966,84054,89.472,1.922,48648,1.112,4.699,249127,61.57,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/15/2020,525176,12524,10606,9508,191,170.857,12008.481,286.369,242.513,217.406,4.367,3.907,,,,,,45888,1.049,4.327,251864,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/16/2020,535857,10681,10789.429,9603,95,164.714,12252.708,244.228,246.707,219.579,2.172,3.766,,,,,,44140,1.009,4.091,254653,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/17/2020,545689,9832,10953,9697,94,161.714,12477.523,224.815,250.447,221.728,2.149,3.698,,3979421,,90.992,,41166,0.941,3.758,261836,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/18/2020,557657,11968,11208.571,9856,159,157.143,12751.179,273.656,256.291,225.364,3.636,3.593,,4022283,42862,91.972,0.98,41017,0.938,3.659,270269,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
Ukraine,11/19/2020,570153,12496,11477.857,10112,256,166.429,13036.908,285.729,262.448,231.217,5.854,3.805,,,,,,,,,278190,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.751
